seed,accuracy,roc_auc,f1
42,0.8260059004456719,0.8721140112497843,0.7694595907257767
7,0.8192894356914193,0.8753115945584093,0.758688909774436
123,0.808097420124286,0.8669344338525924,0.7453997303233943
999,0.8080472035653757,0.866325852674899,0.7435905594330586
2024,0.8092272926997678,0.8648304195667462,0.7423784864351843
